,MSOA11CD,MSOA11NM,LAD11CD,LAD11NM,RGN11CD,RGN11NM,USUALRES,HHOLDRES,COMESTRES,POPDEN,HHOLDS,AVHHOLDSZ,geometry,top_pr_similarity,top_pr_similarity_weekday,top_pr_similarity_weekend,top_pr_dissimilarity,top_pr_dissimilarity_weekday,top_pr_dissimilarity_weekend
0,E02000001,City of London 001,E09000001,City of London,E12000007,London,7375,7187,188,25.5,4385,1.6,"MULTIPOLYGON (((531667.623961132 180534.99191568483, 531647.1819611285 180532.93391570396, 531626.6749604974 180538.98291510338, 531667.623961132 180534.99191568483)), ((532135.1449599017 182198.11891501548, 532158.2499597541 182151.06191578304, 532252.8719603801 182179.30991487147, 532293.0679599171 182068.422914838, 532310.0909596973 182003.63691537955, 532419.5919602435 181998.3049156909, 532435.7919604623 182003.31991510733, 532445.7689600884 181957.87091505004, 532572.3249603698 181938.86891589785, 532634.4999599053 181926.03091526224, 532619.1409606603 181847.18791472918, 532746.8129608097 181786.890915427, 532883.4999605005 181715.39591606194, 532946.0649594874 181894.8269160181, 533078.8299603813 181840.52891474956, 533195.2989597535 181970.89591470273, 533204.6679602348 182000.04091468547, 533230.4999598461 182082.452915232, 533410.6879594576 182037.85991540924, 533351.99996005 181739.73391489685, 533443.0139599995 181755.48991574044, 533460.360959324 181669.50291519146, 533499.0629595246 181582.40591620147, 533604.2439603957 181418.12891505944, 533610.9739595565 181410.96791578538, 533743.6879598033 181261.32791490335, 533782.5769604598 181161.62291495595, 533803.1739595265 181053.43191544403, 533837.9379595148 180857.85891518492, 533842.3129598312 180789.31291526655, 533807.9459600034 180767.7699160921, 533649.0629599006 180733.8589156227, 533602.4379600603 180815.17291627446, 533551.1939602471 180812.79691530345, 533556.312959517 180777.9999160815, 533483.8749593201 180758.20291588886, 533420.1249598433 180691.78091585665, 533403.3749603978 180649.85891587118, 533434.1249602808 180623.17191530636, 533395.005959948 180515.2389154295, 533385.3799605471 180516.54091647564, 533382.016960245 180510.67091610527, 533236.6999597524 180573.2999164383, 532916.8109603758 180594.5979152397, 532643.0999607493 180624.60091545398, 532474.188960373 180677.00491507357, 532274.5999600127 180742.2999159721, 532279.0999608722 180789.79991529917, 532216.9999605124 180749.39991605002, 532016.0109606835 180800.79891636426, 531625.6249605364 180797.99891598977, 531145.1269606091 180782.10191606125, 531147.4379609532 180882.15591623686, 531074.687961195 180990.34391503525, 531127.9379610624 181049.49891594338, 531112.3129607537 181104.29691507056, 531172.2329613041 181124.63791593537, 531133.7499600766 181278.98491522804, 530966.6879606943 181596.7339161773, 531158.5379611563 181603.54691594042, 531186.6279604672 181599.89591604337, 531274.9779612883 181581.08391518582, 531410.6649609479 181576.11191499024, 531521.6439608529 181639.84891520388, 531554.8749608408 181659.28091518942, 531627.8189603261 181695.6859150267, 531796.3749604828 181784.46891595755, 532022.3739610793 181893.46891505248, 532082.8759608112 181911.78091517597, 532105.0919597573 182011.22991548257, 532089.2639604529 182076.9849157338, 532071.3019598369 182159.58591529587, 532135.1449599017 182198.11891501548)))",0.4035543808785754,0.2925262139300098,0.7783227221403077,0.5964456191214246,0.7074737860699902,0.22167727785969227
1,E02000002,Barking and Dagenham 001,E09000002,Barking and Dagenham,E12000007,London,6775,6724,51,31.3,2713,2.5,"POLYGON ((548881.5629550377 190845.26491318096, 548881.1249547075 190802.515912643, 549000.7119547989 190873.4549123706, 549089.4379556912 190714.06191271427, 549084.189955452 190584.38991309865, 549071.7739558666 190315.81291262957, 549116.4999550291 190074.76591323048, 549120.9659556425 189772.29391358158, 548464.374955331 189672.6869133063, 548481.9379552602 189556.80091269192, 548465.999955962 189262.99991277535, 548461.9999548914 189131.99991319102, 548451.9999553546 189024.71691332356, 548443.8999556671 188953.81791337003, 548344.0109560562 188916.1409128179, 548357.819955083 188845.13591377978, 548397.143955198 188848.72691357078, 548394.0949551451 188776.64891326876, 548234.8969551612 188749.5359134373, 548114.1409556082 188727.99891323003, 548078.9999556782 188929.9999137582, 548044.6139559988 188924.15491268144, 548043.9629551554 188793.33691363194, 548058.4659555656 188751.70391364384, 547960.2999557133 188743.24091272603, 547804.3599556903 188626.82991337613, 547778.2599555806 188711.1169130311, 547735.4379556164 188840.76591387542, 547770.6999559561 188886.73691269534, 547921.6219559994 188943.19191269, 547882.6099553623 189049.42891317926, 547856.8129561951 189093.68691312475, 547813.7449560626 189096.48091321788, 547514.5629561931 189119.702913084, 547515.1019551626 189127.60491358727, 547533.0839560013 189227.05391319288, 547536.8749559082 189301.01591343526, 547510.0629560875 189373.90591350623, 547482.0629561287 189374.09391306282, 547432.9889559944 189612.05391356966, 547412.1879553621 189680.6559129557, 547519.6499562508 189711.38091292925, 547729.2999557387 189779.1699127092, 547618.187955867 190059.89091305574, 547865.0619555046 190258.06191248685, 547973.4489553611 190348.1889127749, 548453.8129555426 190810.12491308822, 548767.3749557382 191138.98391262343, 548877.6879549817 191097.32891244575, 548845.6879552081 190846.78091270552, 548881.5629550377 190845.26491318096))",0.898235747593609,0.8877118709524129,0.9330951394810076,0.10176425240639098,0.11228812904758712,0.06690486051899236
2,E02000003,Barking and Dagenham 002,E09000002,Barking and Dagenham,E12000007,London,10045,10033,12,46.9,3834,2.6,"POLYGON ((549102.4379549599 189324.62491279538, 548954.4999558363 189063.20291265508, 548889.6929547365 189065.74991293252, 548874.1879557882 188496.1869128447, 548952.4999551891 188492.2649129029, 548954.4189552488 188246.30991307204, 548946.43795573 188214.15591408452, 549019.0629550118 188228.2499138019, 549051.6879551002 187899.81191314646, 549085.6009557955 187836.72391353996, 548972.663955659 187816.6069131659, 548871.0629558708 187799.01591342338, 548880.2769558597 187766.34191416838, 548881.1879555533 187727.4369131482, 548919.2749556566 187717.80091372458, 549019.4999556196 187715.03091366653, 549057.8669547134 187664.7559130533, 549099.6339556577 187656.07591309363, 549057.4409558831 187578.52791338565, 548997.8239558504 187577.14091428427, 549009.8919557206 187528.08291405643, 548956.7449548189 187476.0529136322, 548910.9819557269 187463.27691311814, 548895.7629554883 187495.5999131626, 548836.1979551074 187478.95191328507, 548849.3899553362 187412.74691380502, 548884.309954986 187278.53891433746, 548798.842955776 187271.88991378358, 548754.8509553305 187368.3509143326, 548587.011955731 187431.98691373086, 548651.170955881 187581.57491320051, 548410.3809555762 187605.99991338572, 548307.4569557762 187596.58291309729, 548205.4259552611 187516.98491341202, 548113.249955804 187468.99991405435, 547828.7179554474 187450.8259138642, 547706.5309557553 187444.41291394318, 547682.8749560704 187443.17191343143, 547704.2609552331 187598.06191331416, 547699.5649552336 187618.6029134486, 547700.9309559433 187707.66591367655, 547721.5389556517 187758.9639133283, 547746.4519559345 187885.65991405497, 547715.1249555687 187914.53091384727, 547700.2499559117 188007.686914147, 547764.8239556146 188024.10691343568, 547817.9379561844 188037.59391382732, 547767.6249556822 188214.7339137218, 547701.8099554663 188170.0989131367, 547662.6399553787 188271.89491318085, 547656.5859559623 188376.21491353813, 547655.1189551839 188431.39191368426, 547642.3749560902 188528.68691398727, 547696.9989556358 188556.90491326974, 547804.359956088 188626.8299138024, 547960.2999556235 188743.24091274728, 548058.4659554065 188751.70391389308, 548043.9629558547 188793.3369131866, 548044.6139560392 188924.15491367131, 548078.9999556586 188929.99991306785, 548114.1409560161 188727.99891379225, 548234.8969557466 188749.53591360227, 548394.0949554387 188776.6489130967, 548397.1439555767 188848.726912748, 548357.8199556068 188845.13591378683, 548344.010955687 188916.14091381978, 548443.8999551113 188953.81791267754, 548451.9999551075 189024.71691308427, 548461.9999558434 189131.99991343386, 548465.9999558878 189262.99991332408, 548481.9379560477 189556.800912556, 548464.3749558306 189672.68691292248, 549120.9659548453 189772.29391303356, 549120.7719547501 189640.24391349073, 549102.4379549599 189324.62491279538))",0.9939179348398774,0.9934991923798878,0.9947552358017915,0.006082065160122552,0.006500807620112181,0.005244764198208518
3,E02000004,Barking and Dagenham 003,E09000002,Barking and Dagenham,E12000007,London,6182,5937,245,24.8,2318,2.6,"POLYGON ((551549.9979540852 187364.63691382622, 551477.9999543771 187263.671913806, 551441.7459540933 187136.9649132961, 551397.1529540955 186966.8579143064, 551528.3909547627 186852.16391444317, 551543.0049546468 186762.27691349335, 551526.6889543664 186570.8119144406, 551572.2499548729 186477.14091432624, 551554.3749545754 186432.7499137114, 551619.4149545261 186429.6989135265, 551739.999954695 186318.4529137492, 551779.9379542887 186178.4219141415, 551943.8129547061 186027.67191402335, 551905.8039540503 185894.0989138349, 551764.9999544513 185746.52991424908, 551670.8129544524 185446.79691458546, 551204.5109541442 185301.88091437507, 551197.9489544486 185502.67191378382, 550485.0699553596 185441.08091482695, 550425.1769553054 185384.99491449044, 550335.7719543987 185516.55191378016, 550247.1069545497 185658.48991375143, 550200.7319553448 185624.8449146229, 550239.0379549755 185744.4269146014, 550531.5119544127 185756.39491397538, 550406.2219544492 185898.1099136846, 550272.8479552015 185953.0749136812, 550244.1369551566 185994.01891404856, 550170.9999548153 185971.0009142795, 550134.6829551063 185957.3029136943, 550106.5079549178 185984.50991444365, 550120.9549551008 186019.77791392378, 550075.9689545545 186039.44991421123, 550099.999955036 186064.9999136959, 550064.5789546552 186096.3639141888, 550083.7299547951 186125.56191453588, 550141.2139544722 186101.6499140429, 550140.0149549991 186225.428913704, 550167.0749549479 186262.37591409602, 550299.434954719 186255.26091408648, 550294.999955064 186374.99991431844, 550324.1059553331 186374.3179145669, 550350.3569547007 186269.70891410817, 550380.5239553956 186429.95491379534, 550414.101954676 186480.95691365836, 550429.2399552917 186734.06291427353, 550413.7209543239 186968.57791392662, 550410.9729553553 187021.31991338078, 550392.6249546267 187189.0469137194, 550500.4169552937 187258.30891358218, 550519.0379546036 187269.99091326725, 550739.3109551127 187373.7829133732, 550978.7539548227 187347.2559137697, 551129.668954965 187363.3059132594, 551430.5629549082 187345.3039142746, 551551.5629542002 187445.15591373137, 551549.9979540852 187364.63691382622))",0.9089806612582572,0.9051166725773299,0.9291271150445379,0.09101933874174284,0.09488332742267014,0.07087288495546207
4,E02000005,Barking and Dagenham 004,E09000002,Barking and Dagenham,E12000007,London,8562,8562,0,72.1,3183,2.7,"POLYGON ((549099.6339549823 187656.0759136686, 549161.3749551782 187625.60891353828, 549210.2919549658 187648.5879134079, 549418.6249549503 187442.46891382022, 549145.8299555397 187382.90891339397, 549138.6559551429 187195.18891395105, 549134.9619549159 186976.06491368328, 549128.6579551932 186912.54891397402, 548983.4379551745 186875.1089135144, 548970.7799549836 186589.6789142221, 548933.1229556338 186439.24191404373, 548958.3399549774 186426.82991408452, 548992.2239553815 186459.4199138264, 549027.281955164 186392.23491426383, 549074.5439550392 186436.5089144326, 549156.0019551188 186429.4569136991, 549153.0109548954 186380.63691404375, 549153.885955307 186255.1449138372, 549077.0549551812 186262.68491406366, 549026.796955345 186159.7969140301, 548949.9999554565 186173.99991400936, 548933.8839549525 186160.0509145151, 548829.618955412 186002.06591385585, 548787.1729551753 186018.23291387595, 548741.2929553874 185971.81191417313, 548693.7479553695 185979.0419138224, 548675.5559554816 186019.8089142267, 548724.8879553922 186041.22891386185, 548708.173955271 186124.91991452157, 548697.761955651 186138.52091391367, 548802.5959551511 186261.37291367323, 548816.8739554065 186283.42191433115, 548637.0349556482 186272.02091404935, 548619.9379555776 186270.93691415846, 548479.8709553704 186262.98991406278, 548477.3969551399 186319.9669137448, 548423.0329554698 186385.4969142368, 548219.5419551074 186423.9989138886, 548136.2619552867 186451.27591379313, 548171.4309556461 186545.74191422784, 548152.5699551497 186621.65591429098, 548057.9509553309 186664.49191427883, 548080.90595528 186752.61191365827, 548046.4269557747 186780.7869142829, 548065.5399558506 186815.54091367644, 548166.6839552508 186868.6639139462, 548172.597955223 186878.96391422016, 548183.7839558376 187040.43391394452, 548179.2019552072 187081.76391411887, 548201.9429559411 187084.32591377496, 548262.124955904 187090.76591360482, 548205.425955785 187516.98491329025, 548307.4569551357 187596.58291410696, 548410.3809554696 187605.9999137157, 548651.1709556056 187581.57491341222, 548587.0119552728 187431.98691366287, 548754.8509555205 187368.3509135127, 548798.8429551562 187271.8899141603, 548884.3099549374 187278.53891346796, 548849.3899553258 187412.74691334338, 548836.1979550233 187478.95191379206, 548895.7629551868 187495.59991350316, 548910.9819554228 187463.27691339428, 548956.7449552856 187476.05291396286, 549009.8919554754 187528.08291363722, 548997.8239554901 187577.14091411151, 549057.4409556203 187578.52791393723, 549099.6339549823 187656.0759136686))",0.9668666597629283,0.9694739111191496,0.9626381455264584,0.03313334023707171,0.0305260888808504,0.03736185447354157
5,E02000007,Barking and Dagenham 006,E09000002,Barking and Dagenham,E12000007,London,8791,8672,119,50.6,3441,2.5,"POLYGON ((549819.9299548834 187080.67891386413, 549950.7499553697 186961.06191365025, 550250.8859552855 187148.60991394043, 550392.624954858 187189.04691344674, 550410.9729552403 187021.3199139869, 550413.7209547134 186968.57791375177, 550429.2399552662 186734.06291395705, 550414.1019551834 186480.95691437845, 550380.5239548392 186429.95491363603, 550350.3569550293 186269.70891428023, 550324.1059547906 186374.3179139304, 550294.9999544844 186374.99991439562, 550299.4349547616 186255.26091370767, 550167.074955138 186262.37591405568, 550140.0149545562 186225.42891401058, 550141.2139551305 186101.64991435094, 550083.7299553398 186125.56191391702, 550064.5789547336 186096.36391373136, 550099.9999548057 186064.9999139423, 550075.9689552421 186039.44991440733, 550120.9549547831 186019.77791416878, 550106.5079549261 185984.5099142121, 549955.3049546906 185936.16391389852, 549892.7349546346 185973.75391404988, 549899.0709552349 185885.59991434077, 549912.6249547503 185841.18691407162, 549603.9999547503 185773.2189142338, 549341.73195522 185800.91391420783, 549285.5479548093 185796.58491380909, 549140.8859549321 185788.473914553, 549100.944955538 185827.8829139556, 549023.0359551641 185817.61091450095, 549001.4999551976 185872.2069139855, 549020.4409549728 185931.2719138678, 549089.670955385 185924.62091410783, 549143.7379553572 185959.82291442185, 549039.8979549772 186065.59491393098, 549052.340955109 186131.8529140402, 549026.7969548574 186159.79691436858, 549077.054955018 186262.68491392984, 549153.8859554115 186255.14491418836, 549153.0109554273 186380.63691405364, 549156.0019551344 186429.45691376564, 549074.5439556598 186436.50891411252, 549027.2819554447 186392.2349139629, 548992.2239554853 186459.41991369752, 548958.3399549081 186426.82991405122, 548933.1229548891 186439.24191370595, 548970.7799553976 186589.67891431204, 548983.4379549293 186875.10891354276, 549128.6579550349 186912.54891405476, 549134.9619552781 186976.06491397362, 549138.6559554494 187195.18891381088, 549145.8299554384 187382.9089136219, 549418.6249548967 187442.46891373314, 549547.1989553047 187336.79891374294, 549819.9299548834 187080.67891386413))",0.9643244996314098,0.9645985551290852,0.9650515393256495,0.03567550036859024,0.03540144487091479,0.034948460674350534
6,E02000008,Barking and Dagenham 007,E09000002,Barking and Dagenham,E12000007,London,11569,11564,5,81.5,4591,2.5,"POLYGON ((548171.4309554307 186545.74191408482, 548136.2619557221 186451.27591407916, 548219.5419553069 186423.9989143276, 548423.032955037 186385.49691446265, 548477.3969550848 186319.9669144472, 548479.8709554892 186262.9899137994, 548619.9379553848 186270.93691434257, 548637.0349555482 186272.02091368113, 548816.8739554208 186283.42191390134, 548802.5959553213 186261.37291424884, 548697.7619551732 186138.52091392712, 548708.1739557835 186124.91991413, 548724.8879551629 186041.22891418333, 548675.5559555348 186019.80891392293, 548693.747955153 185979.0419141113, 548741.2929553457 185971.8119138956, 548787.1729550753 186018.23291384475, 548829.6189555787 186002.06591402652, 548933.8839550499 186160.05091447686, 548949.9999556075 186173.99991404405, 549026.7969555417 186159.79691410094, 549052.3409552292 186131.85291383415, 549039.8979554757 186065.5949142567, 549143.7379552389 185959.8229137563, 549089.6709548213 185924.62091458007, 549020.4409556382 185931.271914333, 549001.4999556742 185872.20691417664, 549023.0359555655 185817.61091398832, 549100.9449552955 185827.88291407312, 549140.8859548246 185788.47391442768, 548984.1139550044 185769.64991442353, 548824.0939549692 185757.7939142569, 548662.8749554161 185739.18691383407, 548675.8559552768 185571.98891405686, 548693.7219553576 185481.3119144849, 548640.2979554416 185526.5209141383, 548506.0879550356 185533.28291450907, 548488.8509552277 185512.47491417814, 548539.1479553331 185477.88791416277, 548515.3849557383 185410.86891467456, 548392.3649553147 185403.72291406826, 548319.061955084 185377.8909142054, 548284.7909557018 185399.38491429255, 548257.36595542 185330.44191407168, 548186.9999555452 185318.9999143763, 548068.7449552682 185455.47691451182, 548027.0209558655 185350.35091462516, 548034.5669558325 185108.00791459653, 547857.3449552397 185058.8489140821, 547797.3789555272 185285.9869146588, 547714.1419560789 185266.85491402773, 547688.7499556025 185286.37491445505, 547502.6869554659 185249.04691464367, 547475.0719557293 185265.47791462118, 547492.5509554644 185291.58691454324, 547633.8229559835 185503.78491439618, 547687.8839552957 185583.77591429296, 547796.8949556731 185747.43791456195, 547802.7869552943 185756.2869141107, 547794.3229554293 185803.38291458017, 547693.0709559196 185788.77291383815, 547602.5259559881 185781.55391461996, 547386.4379557495 185739.8589142441, 547381.039955768 185754.88591380813, 547433.3609553429 185956.92491397663, 547556.8529560539 186206.7479141525, 547564.3789555682 186224.0629142287, 547597.9169554956 186352.14391409722, 547544.6449556721 186475.70691364014, 547647.3959553234 186500.63491383346, 547682.458956069 186457.15791391412, 547657.8989560991 186429.69291360764, 547605.5379556185 186449.04491393245, 547616.8349557761 186389.59791420528, 547722.5719552621 186385.82491378178, 547715.3549558258 186514.8599140115, 547750.7769555782 186518.0949143275, 547746.9999555923 186573.9999143224, 547764.138955561 186544.05991416017, 547828.8509552985 186545.5059143816, 547830.0799559365 186587.8139141394, 547835.0099551923 186589.8809137458, 547947.9999554586 186608.9999135983, 547927.3599552313 186669.28191394306, 548046.4269555619 186780.78691429633, 548080.9059559519 186752.6119142191, 548057.9509559678 186664.4919143319, 548152.5699555153 186621.65591425274, 548171.4309554307 186545.74191408482))",0.9730034726650626,0.9768882991191827,0.9634052044877836,0.026996527334937404,0.023111700880817265,0.03659479551221645
7,E02000009,Barking and Dagenham 008,E09000002,Barking and Dagenham,E12000007,London,8395,8376,19,87.4,3212,2.6,"POLYGON ((546854.9999555987 186317.99991421046, 546805.4319555734 186233.26491432253, 546875.6459563285 186236.6779144592, 546897.8909558982 186166.1809142591, 547017.0099558715 186299.3169144899, 547097.0409559109 186238.53391384723, 547136.9249554938 186216.03991416335, 547140.1949562463 186168.90691396064, 547214.3559559681 186232.16791424924, 547256.6229559026 186193.72891436203, 547296.1449559398 186216.83791392058, 547315.1079557819 186175.17791426723, 547396.306955559 186137.61491418263, 547429.6899557554 186112.00291445747, 547433.7719553492 186043.54091414926, 547356.2619556133 186000.61891384196, 547348.2079556945 185925.9009140411, 547283.9129554038 185962.0219145929, 547230.1389557552 185903.37891451427, 547242.9999560895 185836.9999141844, 547296.5289558421 185874.53691453428, 547265.3629562012 185838.9619143011, 547309.7929554343 185802.73991413193, 547294.3869560076 185772.52891439438, 547354.0619559812 185761.93191465392, 547365.0009558575 185783.9999138299, 547381.0399561382 185754.88591416355, 547386.4379559648 185739.85891436663, 547602.5259556342 185781.5539142461, 547693.0709559355 185788.77291407465, 547794.3229552463 185803.38291385229, 547802.7869556415 185756.28691398323, 547796.8949558054 185747.43791447062, 547687.8839558348 185583.7759141549, 547633.822955685 185503.7849146122, 547492.5509561099 185291.58691416727, 547426.9539555089 185204.9309147112, 547406.3219555394 185261.54891460482, 547329.1669558069 185276.34591448144, 547345.8829559786 185348.50091421138, 547247.9639558126 185371.023914631, 547228.8379554992 185300.17591464403, 547033.5849559285 185348.36191420595, 546814.495955868 185402.49191475095, 546806.1869563482 185404.51491398813, 546644.109955789 185450.02491404733, 546406.9689559146 185502.46291405387, 546181.6249564183 185509.67191417626, 546126.2499561446 185664.98391442135, 546175.2269559207 185730.94091445964, 546207.3119560243 185774.17191394727, 546269.7879564222 185810.00891416072, 546276.0629561062 185861.14091447805, 546514.4999559651 185860.03091453738, 546615.9749556535 186050.6049139388, 546705.6789563764 186165.45891443756, 546562.0049562557 186296.61991384806, 546591.1899555867 186338.5659139494, 546602.355956058 186386.70991374302, 546801.7889563546 186356.67491434462, 546854.9999555987 186317.99991421046))",0.9135859692799922,0.9086537669335062,0.933719332233728,0.08641403072000775,0.09134623306649381,0.06628066776627195
8,E02000010,Barking and Dagenham 009,E09000002,Barking and Dagenham,E12000007,London,8615,8615,0,76.8,3292,2.6,"POLYGON ((549618.8499548852 185517.06491460605, 549637.020955045 185476.81391455018, 549673.6879554384 185473.46891472366, 549679.9379550582 185411.45291387668, 549765.5629549618 185416.74991412932, 549786.6249550486 185265.59391411924, 549855.4659553177 185145.54791461903, 549904.3749552984 185054.84391450032, 549984.4999547697 184989.99991418648, 549987.2499549859 184926.62591466727, 549927.7619554227 184906.16891409556, 549739.9589548279 184846.8349141195, 549690.5689552062 184831.92491459235, 549556.7109552202 184796.47391423688, 549507.5009549351 184783.49391428212, 549310.6899556459 184745.3329143896, 549241.15095569 184734.68991435727, 549182.7989548026 184726.33691469743, 549210.5499556183 184859.18691477907, 549301.1109549804 184875.20891427575, 549285.1469549264 184980.9049141975, 549319.8499550105 184990.38191477902, 549311.0529553551 185038.8829144165, 549345.9959552645 185056.95691444253, 549325.0029555801 185185.54191394872, 549371.893954705 185194.71291427134, 549323.6579557164 185244.15191448643, 549272.405954806 185240.27791441645, 549234.9999551193 185150.822914018, 549265.7509548157 185069.66091491934, 549211.5279547464 185047.57591400697, 549193.4019552196 185045.8939141843, 549196.0359554847 184999.69991475536, 549156.4519554138 184979.83391489764, 549041.9989554522 185002.75991412392, 549088.1499552935 185062.33491391753, 549050.1729557653 185099.87791441922, 549077.4479547623 185152.38891388878, 549036.7219550083 185188.46991458366, 549029.895955595 185189.37991436536, 548976.3699552224 185182.33591491572, 548932.2359551813 185245.77191490482, 548903.0629552412 185211.2969147624, 548803.9999555208 185231.99991403607, 548689.3569552538 185256.8549139076, 548620.4379557336 185128.9999148476, 548648.2499548987 185111.45291402139, 548633.0429550301 185083.97791481594, 548599.0629554577 185022.54691474076, 548389.1879559552 185142.5939142324, 548266.9989557341 184978.59391402756, 547931.5649553584 184917.6729143798, 547883.6179557245 184977.70691402466, 547857.344955625 185058.8489143788, 548034.5669555918 185108.00791408954, 548027.0209556377 185350.35091383918, 548068.7449553926 185455.47691390995, 548186.9999550527 185318.9999145795, 548257.365955587 185330.44191439525, 548284.7909552736 185399.38491474924, 548319.0619552464 185377.89091455023, 548392.3649552658 185403.72291462694, 548515.3849549617 185410.86891416123, 548539.1479557351 185477.8879138215, 548488.8509552387 185512.47491395578, 548506.0879558478 185533.2829143526, 548640.2979556485 185526.5209143238, 548693.7219548707 185481.31191395596, 548675.855954977 185571.9889143344, 548662.8749550316 185739.18691471207, 548824.0939553186 185757.79391388164, 548984.113955405 185769.64991397958, 549140.8859547328 185788.47391425777, 549285.5479553355 185796.58491411217, 549341.7319546776 185800.9139140747, 549603.9999547832 185773.21891378565, 549618.8499548852 185517.06491460605))",0.9076031548839895,0.9053152623366774,0.9243677091554291,0.09239684511601054,0.09468473766332264,0.0756322908445709
9,E02000011,Barking and Dagenham 010,E09000002,Barking and Dagenham,E12000007,London,6187,6086,101,38.8,2289,2.7,"POLYGON ((550244.1369551625 185994.01891417953, 550272.8479546341 185953.07491462998, 550406.221955165 185898.10991404502, 550531.5119545729 185756.3949145291, 550239.0379549142 185744.42691398115, 550200.7319548724 185624.84491470573, 550247.1069551085 185658.48991454445, 550335.7719544581 185516.55191417242, 550425.1769545005 185384.9949140543, 550485.0699544598 185441.08091474057, 551197.9489547379 185502.67191421858, 551204.5109547682 185301.88091455423, 551670.8129544806 185446.79691447213, 551422.4379547478 185230.15591447515, 551297.936955002 185055.0619139549, 551246.6259547583 184889.60891402757, 551242.438954347 184701.75091506628, 551202.164954602 184608.55491495074, 550904.619954844 184378.38191464113, 550827.9599550955 184430.97391421313, 550706.8019551045 184457.9329145422, 550588.5379552455 184472.61091512773, 550553.1649550633 184443.38991508185, 550474.3749546749 184391.9639142626, 550478.7429552011 184434.55191474, 550426.3669551539 184466.66991489846, 550442.0529549073 184522.14891430683, 550501.2769543672 184543.98191457614, 550512.9999549023 184674.99891432852, 550264.9999546199 184725.99991432327, 550264.9999546199 184719.99991485162, 550262.1349549748 184633.0959145823, 550116.313954482 184634.99991438817, 550114.0639546794 184669.87691458565, 549999.1769546823 184680.01891478256, 550048.1609549719 184717.8499146948, 549988.8979547508 184778.6109141084, 549971.3319550246 184801.68291503267, 549977.1099550136 184810.4219150319, 549927.7619548524 184906.16891422728, 549987.2499545373 184926.6259141065, 549984.4999554674 184989.99991492502, 549904.3749550928 185054.8439147871, 549855.4659553133 185145.54791403352, 549786.6249550922 185265.59391489247, 549765.5629546118 185416.74991467595, 549679.9379550645 185411.45291477733, 549673.687954924 185473.468914046, 549637.0209551586 185476.81391447585, 549618.8499548312 185517.06491472566, 549603.9999551008 185773.21891392086, 549912.6249554022 185841.18691403267, 549899.070954897 185885.59991452342, 549892.7349546675 185973.75391399465, 549955.3049548947 185936.1639137796, 550106.5079550394 185984.50991369737, 550134.6829544613 185957.30291441153, 550170.9999549463 185971.00091391057, 550244.1369551625 185994.01891417953))",0.9194109504979381,0.9174939753353152,0.9322253156393971,0.08058904950206192,0.08250602466468482,0.06777468436060285
